"koala:Anna koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Anna is hard working."
"koala:Kendrick koala:hasChildren koala:Freddie";"Kendrick has children Freddie."
"koala:Nicole koala:hasChildren koala:Caroline";"Nicole has children Caroline."
"koala:Harold koala:hasChildren koala:Caroline";"Harold has children Caroline."
"koala:Lena koala:hasChildren koala:Caroline";"Lena has children Caroline."
"koala:Jack koala:hasChildren koala:Caroline";"Jack has children Caroline."
"koala:John koala:hasChildren koala:Caroline";"John has children Caroline."
"koala:Freddie koala:hasGender koala:male";"Freddie has gender male."
"koala:Kendrick koala:hasChildren koala:NiceKoala";"Kendrick has children Nice Koala."
"koala:Nicole koala:hasChildren koala:Marie";"Nicole has children Marie."
"koala:Harold koala:hasChildren koala:Marie";"Harold has children Marie."
"koala:Lena koala:hasChildren koala:Marie";"Lena has children Marie."
"koala:Jack koala:hasChildren koala:Marie";"Jack has children Marie."
"koala:John koala:hasChildren koala:Marie";"John has children Marie."
"koala:Nicole koala:hasGender koala:female";"Nicole has gender female."
"koala:Lena koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Lena is hard working."
"koala:Jack koala:hasHabitat koala:UniLeipzig";"Jack has habitat Uni Leipzig."
"koala:John koala:hasGender koala:male";"John has gender male."
"koala:BA rdf:type koala:Degree";"BA's type is Degree."
"koala:MA rdf:type koala:Degree";"MA's type is Degree."
"koala:Carla rdf:type koala:Person";"Carla's type is Person."
"koala:Carla koala:hasGender koala:female";"Carla has gender female."
"koala:Caroline rdf:type koala:Person";"Caroline's type is Person."
"koala:Caroline koala:hasGender koala:female";"Caroline has gender female."
"koala:Marie rdf:type koala:Person";"Marie's type is Person."
"koala:Marie koala:hasGender koala:female";"Marie has gender female."
"koala:UniLeipzig rdf:type koala:University";"Uni Leipzig's type is University."
"koala:UniTuebingen rdf:type koala:University";"Uni Tuebingen's type is University."
"koala:Leipzig rdf:type koala:City";"Leipzig's type is City."
"koala:ThatOneVeryDryEucalyptForest rdf:type koala:DryEucalyptForest";"That One Very Dry Eucalypt Forest's type is Dry Eucalypt Forest."
