"Sunbathing <b>SubClassOf:</b> Relaxation","every sunbathing is a relaxation"
"BunjeeJumping <b>SubClassOf:</b> Adventure","every bunjee jumping is an adventure"
"RetireeDestination <b>EquivalentTo:</b> Destination <b>and</b> (hasAccommodation <b>some</b> (hasRating <b>value</b> ThreeStarRating)) <b>and</b> (hasActivity <b>some</b> Sightseeing)","every retiree destination is a destination that has as accommodation something that has rating Three Star Rating and that has as activity a sightseeing"
"QuietDestination <b>EquivalentTo:</b> Destination <b>and</b> ( <b>not</b> (FamilyDestination))","every quiet destination is a destination that is not a family destination"
"BedAndBreakfast <b>DisjointWith:</b> Campground","every bed and breakfast is something that is not a campground"
"Safari <b>SubClassOf:</b> Adventure","every safari is an adventure"
"LuxuryHotel <b>SubClassOf:</b> Hotel","every luxury hotel is a hotel"
"BedAndBreakfast <b>SubClassOf:</b> Accommodation","every bed and breakfast is an accommodation"
"hasRating <b>Range:</b> AccommodationRating","everything is something that has as rating only an accommodation rating"
"isOfferedAt <b>Domain:</b> Activity","everything that is offered at something is an activity"
"hasAccommodation <b>Range:</b> Accommodation","everything is something that has as accommodation only an accommodation"
"Adventure <b>DisjointWith:</b> Sightseeing","every adventure is something that is not a sightseeing"
"hasAccommodation <b>Domain:</b> Destination","everything that has a accommodation is a destination"
"BackpackersDestination <b>EquivalentTo:</b> Destination <b>and</b> (hasAccommodation <b>some</b> BudgetAccommodation) <b>and</b> (hasActivity <b>some</b> (Adventure <b>or</b> Sports))","every backpackers destination is a destination that has as accommodation a budget accommodation and that has as activity an adventure or a sport"
" <b>Functional</b>  hasStreet","everything is something that has street at most 1 Literals"
"Hotel <b>SubClassOf:</b> Accommodation","every hotel is an accommodation"
"hasPart <b>Domain:</b> Destination","everything that has a part is a destination"
"Yoga <b>SubClassOf:</b> Relaxation","every yoga is a relaxation"
"Sports <b>SubClassOf:</b> Activity","every sport is an activity"
"Sightseeing <b>SubClassOf:</b> Activity","every sightseeing is an activity"
"Relaxation <b>SubClassOf:</b> Activity","every relaxation is an activity"
"hasStreet <b>Domain:</b> Contact","everything that has street is a contact"
"hasCity <b>Range:</b> string","everything is something that has city only string"
"Campground <b>SubClassOf:</b> hasRating <b>value</b> OneStarRating","every campground is something that has rating One Star Rating"
